product_group,Código,Designação,TUnd,source_file
Gabapentina,5016977,"Gabapentina Gabamox MG, 800 mg Blister 60 Unidade(s) Comp revest pelic...[60]",23.0,genericos.csv
Gabapentina,5722202,"Gabapentina Generis MG, 300 mg Blister 60 Unidade(s) Caps...[60]",14.0,genericos.csv
Gabapentina,5896733,"Gabapentina ratiopharm MG, 100 mg Blister 60 Unidade(s) Caps...[60]",7.0,genericos.csv
Gabapentina,5278882,"Gabapentina Ratiopharm 100 mg Cápsulas MG, 100 mg Blister 60 Unidade(s) Caps...[60]",7.0,genericos.csv
Gabapentina,3847498,"Gabapentina Gabamox 300 mg Cápsulas MG, 300 mg Blister 60 Unidade(s) Caps...[60]",6.0,genericos.csv
Ibuprofeno,5515184,"Ibuprofeno Generis MG, 600 mg Blister 20 Unidade(s) Comp revest...[20]",146.0,genericos.csv
Ibuprofeno,4457388,"Ibuprofeno Generis MG, 600 mg Blister 60 Unidade(s) Comp revest...[60]",120.0,genericos.csv
Ibuprofeno,5218631,"Ibuprofeno Sandoz MG, 600 mg Blister 60 Unidade(s) Comp revest pelic...[60]",54.0,genericos.csv
Ibuprofeno,5218623,"Ibuprofeno Sandoz MG, 600 mg Blister 20 Unidade(s) Comp revest pelic...[20]",39.0,genericos.csv
Ibuprofeno,5772181,"Ibuprofeno Generis MG, 400 mg Blister 20 Unidade(s) Comp revest pelic...[20]",24.0,genericos.csv
Ibuprofeno,5120589,"Ibuprofeno Generis MG, 400 mg Blister 60 Unidade(s) Comp revest pelic...[60]",16.0,genericos.csv
Ibuprofeno,5218607,"Ibuprofeno Sandoz MG, 400 mg Blister 20 Unidade(s) Comp revest pelic...[20]",9.0,genericos.csv
Ibuprofeno,5218615,"Ibuprofeno Sandoz MG, 400 mg Blister 60 Unidade(s) Comp revest pelic...[60]",9.0,genericos.csv
Ibuprofeno,5314463,"Ibuprofeno toLife MG, 400 mg 20 Saqueta Granul sol oral...[20]",9.0,genericos.csv
Ibuprofeno,5917885,"Ibuprofeno Pharmakern MG, 600 mg 20 Saqueta Granul eferv...[20]",7.0,genericos.csv
Ibuprofeno,5218565,"Ibuprofeno Sandoz MG, 200 mg Blister 20 Unidade(s) Comp revest pelic...[20]",3.0,genericos.csv
Ibuprofeno,5218573,"Ibuprofeno Sandoz MG, 200 mg Blister 60 Unidade(s) Comp revest pelic...[60]",2.0,genericos.csv
Ibuprofeno,5218532,"Ibuprofeno Pharmakern MG, 400 mg Blister 60 Unidade(s) Comp revest pelic...[60]",1.0,genericos.csv
Ibuprofeno,5219332,"Ibuprofeno toLife MG, 400 mg Blister 60 Unidade(s) Comp revest pelic...[60]",1.0,genericos.csv
Lercanidipina,5239603,"Lercanidipina Mylan MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",124.0,genericos.csv
Lercanidipina,5623855,"Lercanidipina Sandoz MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",116.0,genericos.csv
Lercanidipina,5239579,"Lercanidipina Mylan MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",87.0,genericos.csv
Lercanidipina,5251400,"Lercanidipina Farmoz MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",85.0,genericos.csv
Lercanidipina,5623863,"Lercanidipina Sandoz MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",71.0,genericos.csv
Lercanidipina,5251426,"Lercanidipina Farmoz MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",62.0,genericos.csv
Lercanidipina,5289756,"Lercanidipina Ciclum MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",27.0,genericos.csv
Lercanidipina,5894712,"Lercanidipina toLife MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",25.0,genericos.csv
Lercanidipina,5289772,"Lercanidipina Ciclum MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",14.0,genericos.csv
Lercanidipina,5894720,"Lercanidipina toLife MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",5.0,genericos.csv
Lercanidipina,5239546,"Lercanidipina Aurovitas MG, 20 mg Blister 28 Unidade(s) Comp revest pelic...[28]",3.0,genericos.csv
Metformina,5174586,"Metformina Sandoz MG, 1000 mg Blister 60 Unidade(s) Comp revest pelic...[60]",395.0,genericos.csv
Metformina,4985685,"Metformina Sandoz MG, 850 mg Blister 60 Unidade(s) Comp revest pelic...[60]",275.0,genericos.csv
Metformina,5755673,"Metformina ToLife MG, 500 mg Blister 60 Unidade(s) Comp revest pelic...[60]",227.0,genericos.csv
Metformina,5731476,"Metformina Generis MG, 500 mg Blister 60 Unidade(s) Comp revest pelic...[60]",102.0,genericos.csv
Metformina,5755707,"Metformina ToLife MG, 850 mg Blister 60 Unidade(s) Comp revest pelic...[60]",68.0,genericos.csv
Metformina,5304431,"Metformina Mylan MG, 500 mg Blister 60 Unidade(s) Comp revest pelic...[60]",66.0,genericos.csv
Metformina,5755715,"Metformina ToLife MG, 1000 mg Blister 60 Unidade(s) Comp revest pelic...[60]",28.0,genericos.csv
Metformina,5563689,"Metformina Ratiopharm MG, 500 mg Blister 60 Unidade(s) Comp revest pelic...[60]",21.0,genericos.csv
Metformina,5304472,"Metformina Mylan MG, 1000 mg Blister 60 Unidade(s) Comp revest pelic...[60]",20.0,genericos.csv
Metformina,5171533,"Metformina Aurobindo MG, 1000 mg Blister 60 Unidade(s) Comp revest pelic...[60]",14.0,genericos.csv
Metformina,5080262,"Metformina Zentiva MG, 1000 mg Blister 60 Unidade(s) Comp revest pelic...[60]",12.0,genericos.csv
Metformina,5818869,"Metformina + Vildagliptina Krka MG, 1000 mg + 50 mg Blister 60 Unidade(s) Comp revest pelic...[60]",11.0,genericos.csv
Metformina,5809314,"Metformina + Vildagliptina Pharmakern MG, 1000 mg + 50 mg Blister 60 Unidade(s) Comp revest pelic...[60]",5.0,genericos.csv
Metformina,5811849,"Metformina + Vildagliptina Sandoz MG, 1000 mg + 50 mg Blister 60 Unidade(s) Comp revest pelic...[60]",3.0,genericos.csv
Metformina,5731518,"Metformina Generis MG, 1000 mg Blister 60 Unidade(s) Comp revest pelic...[60]",3.0,genericos.csv
Metformina,5062369,"Metformina Ciclum MG, 500 mg Blister 20 Unidade(s) Comp revest pelic...[20]",1.0,genericos.csv
Mirtazapina,5850193,"Mirtazapina Psidep MG, 15 mg Blister 56 Unidade(s) Comp revest...[56]",157.0,genericos.csv
Mirtazapina,5879390,"Mirtazapina Psidep MG, 30 mg Blister 56 Unidade(s) Comp revest...[56]",107.0,genericos.csv
Mirtazapina,5362983,"Mirtazapina Krka MG, 30 mg Blister 60 Unidade(s) Comp revest pelic...[60]",49.0,genericos.csv
Mirtazapina,5652391,"Mirtazapina Farmoz MG, 15 mg Blister 30 Unidade(s) Comp revest pelic...[30]",39.0,genericos.csv
Mirtazapina,5879564,"Mirtazapina Sandoz MG, 15 mg Blister 60 Unidade(s) Comp revest pelic...[60]",39.0,genericos.csv
Mirtazapina,5653191,"Mirtazapina Farmoz 30 mg Comprimidos MG, 30 mg Blister 30 Unidade(s) Comp revest pelic...[30]",38.0,genericos.csv
Mirtazapina,5659099,"Mirtazapina ToLife 30 mg Comprimidos MG, 30 mg Blister 30 Unidade(s) Comp revest pelic...[30]",27.0,genericos.csv
